Sample	Family ID	Population	Population Description	Gender	Relationship	Unexpected Parent/Child 	Non Paternity	Siblings	Grandparents	Avuncular	Half Siblings	Unknown Second Order	Third Order	Other Comments
NA18925	Y033	YRI	Yoruba in Ibadan, Nigeria	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18930	Y030	YRI	Yoruba in Ibadan, Nigeria	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18933	Y036	YRI	Yoruba in Ibadan, Nigeria	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18934	Y036	YRI	Yoruba in Ibadan, Nigeria	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18935	Y036	YRI	Yoruba in Ibadan, Nigeria	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18939	NA18939	JPT	Japanese in Tokyo, Japan	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18940	NA18940	JPT	Japanese in Tokyo, Japan	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18941	NA18941	JPT	Japanese in Tokyo, Japan	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18942	NA18942	JPT	Japanese in Tokyo, Japan	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18943	NA18943	JPT	Japanese in Tokyo, Japan	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18944	NA18944	JPT	Japanese in Tokyo, Japan	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18945	NA18945	JPT	Japanese in Tokyo, Japan	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18946	NA18946	JPT	Japanese in Tokyo, Japan	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18947	NA18947	JPT	Japanese in Tokyo, Japan	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18948	NA18948	JPT	Japanese in Tokyo, Japan	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18949	NA18949	JPT	Japanese in Tokyo, Japan	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18950	NA18950	JPT	Japanese in Tokyo, Japan	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18951	NA18951	JPT	Japanese in Tokyo, Japan	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18952	NA18952	JPT	Japanese in Tokyo, Japan	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18953	NA18953	JPT	Japanese in Tokyo, Japan	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18954	NA18954	JPT	Japanese in Tokyo, Japan	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18955	NA18955	JPT	Japanese in Tokyo, Japan	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18956	NA18956	JPT	Japanese in Tokyo, Japan	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18957	NA18957	JPT	Japanese in Tokyo, Japan	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18959	NA18959	JPT	Japanese in Tokyo, Japan	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18960	NA18960	JPT	Japanese in Tokyo, Japan	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18961	NA18961	JPT	Japanese in Tokyo, Japan	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18962	NA18962	JPT	Japanese in Tokyo, Japan	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18963	NA18963	JPT	Japanese in Tokyo, Japan	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18964	NA18964	JPT	Japanese in Tokyo, Japan	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18965	NA18965	JPT	Japanese in Tokyo, Japan	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18966	NA18966	JPT	Japanese in Tokyo, Japan	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18967	NA18967	JPT	Japanese in Tokyo, Japan	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18968	NA18968	JPT	Japanese in Tokyo, Japan	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18969	NA18969	JPT	Japanese in Tokyo, Japan	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18970	NA18970	JPT	Japanese in Tokyo, Japan	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18971	NA18971	JPT	Japanese in Tokyo, Japan	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18972	NA18972	JPT	Japanese in Tokyo, Japan	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18973	NA18973	JPT	Japanese in Tokyo, Japan	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18974	NA18974	JPT	Japanese in Tokyo, Japan	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18975	NA18975	JPT	Japanese in Tokyo, Japan	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18976	NA18976	JPT	Japanese in Tokyo, Japan	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18977	NA18977	JPT	Japanese in Tokyo, Japan	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18978	NA18978	JPT	Japanese in Tokyo, Japan	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18979	NA18979	JPT	Japanese in Tokyo, Japan	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18980	NA18980	JPT	Japanese in Tokyo, Japan	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18981	NA18981	JPT	Japanese in Tokyo, Japan	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18982	NA18982	JPT	Japanese in Tokyo, Japan	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18983	NA18983	JPT	Japanese in Tokyo, Japan	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18984	NA18984	JPT	Japanese in Tokyo, Japan	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18985	NA18985	JPT	Japanese in Tokyo, Japan	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18986	NA18986	JPT	Japanese in Tokyo, Japan	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18987	NA18987	JPT	Japanese in Tokyo, Japan	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18988	NA18988	JPT	Japanese in Tokyo, Japan	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18989	NA18989	JPT	Japanese in Tokyo, Japan	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18990	NA18990	JPT	Japanese in Tokyo, Japan	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18991	NA18991	JPT	Japanese in Tokyo, Japan	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18992	NA18992	JPT	Japanese in Tokyo, Japan	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18993	NA18993	JPT	Japanese in Tokyo, Japan	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18994	NA18994	JPT	Japanese in Tokyo, Japan	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18995	NA18995	JPT	Japanese in Tokyo, Japan	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18997	NA18997	JPT	Japanese in Tokyo, Japan	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18998	NA18998	JPT	Japanese in Tokyo, Japan	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA18999	NA18999	JPT	Japanese in Tokyo, Japan	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19000	NA19000	JPT	Japanese in Tokyo, Japan	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19001	NA19001	JPT	Japanese in Tokyo, Japan	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19002	NA19002	JPT	Japanese in Tokyo, Japan	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19003	NA19003	JPT	Japanese in Tokyo, Japan	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19004	NA19004	JPT	Japanese in Tokyo, Japan	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19005	NA19005	JPT	Japanese in Tokyo, Japan	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19006	NA19006	JPT	Japanese in Tokyo, Japan	male	unrel	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19007	NA19007	JPT	Japanese in Tokyo, Japan	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19009	NA19009	JPT	Japanese in Tokyo, Japan	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19010	NA19010	JPT	Japanese in Tokyo, Japan	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19011	NA19011	JPT	Japanese in Tokyo, Japan	female	unrel	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19012	NA19012	JPT	Japanese in Tokyo, Japan	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19017	NA19017	LWK	Luhya in Webuye, Kenya	female	unrel	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19019	NA19019	LWK	Luhya in Webuye, Kenya	female	unrel	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19020	NA19020	LWK	Luhya in Webuye, Kenya	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19023	NA19023	LWK	Luhya in Webuye, Kenya	female	unrel	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19024	NA19024	LWK	Luhya in Webuye, Kenya	female	unrel	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19025	NA19025	LWK	Luhya in Webuye, Kenya	male	unrel	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19026	NA19026	LWK	Luhya in Webuye, Kenya	male	unrel	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19027	NA19027	LWK	Luhya in Webuye, Kenya	male	NA	NA	NA	NA	NA	NA	NA	NA19311	NA	NA
NA19028	NA19028	LWK	Luhya in Webuye, Kenya	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19030	NA19030	LWK	Luhya in Webuye, Kenya	female	unrel	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19031	NA19031	LWK	Luhya in Webuye, Kenya	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19035	NA19035	LWK	Luhya in Webuye, Kenya	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19036	NA19036	LWK	Luhya in Webuye, Kenya	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19037	NA19037	LWK	Luhya in Webuye, Kenya	female	unrel	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19038	NA19038	LWK	Luhya in Webuye, Kenya	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19041	NA19041	LWK	Luhya in Webuye, Kenya	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19042	NA19042	LWK	Luhya in Webuye, Kenya	female	unrel	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19043	NA19043	LWK	Luhya in Webuye, Kenya	male	unrel	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19044	NA19044	LWK	Luhya in Webuye, Kenya	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19046	NA19046	LWK	Luhya in Webuye, Kenya	male	NA	NA	NA	NA19045	NA	NA	NA	NA	NA19022, NA19045	NA
NA19054	NA19054	JPT	Japanese in Tokyo, Japan	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19055	NA19055	JPT	Japanese in Tokyo, Japan	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19056	NA19056	JPT	Japanese in Tokyo, Japan	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19057	NA19057	JPT	Japanese in Tokyo, Japan	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19058	NA19058	JPT	Japanese in Tokyo, Japan	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19059	NA19059	JPT	Japanese in Tokyo, Japan	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19060	NA19060	JPT	Japanese in Tokyo, Japan	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19062	NA19062	JPT	Japanese in Tokyo, Japan	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19063	NA19063	JPT	Japanese in Tokyo, Japan	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19064	NA19064	JPT	Japanese in Tokyo, Japan	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19065	NA19065	JPT	Japanese in Tokyo, Japan	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19066	NA19066	JPT	Japanese in Tokyo, Japan	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19067	NA19067	JPT	Japanese in Tokyo, Japan	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19068	NA19068	JPT	Japanese in Tokyo, Japan	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19070	NA19070	JPT	Japanese in Tokyo, Japan	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19072	NA19072	JPT	Japanese in Tokyo, Japan	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19074	NA19074	JPT	Japanese in Tokyo, Japan	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19075	NA19075	JPT	Japanese in Tokyo, Japan	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19076	NA19076	JPT	Japanese in Tokyo, Japan	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19077	NA19077	JPT	Japanese in Tokyo, Japan	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19078	NA19078	JPT	Japanese in Tokyo, Japan	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19079	NA19079	JPT	Japanese in Tokyo, Japan	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19080	NA19080	JPT	Japanese in Tokyo, Japan	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19081	NA19081	JPT	Japanese in Tokyo, Japan	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19082	NA19082	JPT	Japanese in Tokyo, Japan	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19083	NA19083	JPT	Japanese in Tokyo, Japan	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19084	NA19084	JPT	Japanese in Tokyo, Japan	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19085	NA19085	JPT	Japanese in Tokyo, Japan	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19086	NA19086	JPT	Japanese in Tokyo, Japan	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19087	NA19087	JPT	Japanese in Tokyo, Japan	female	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19088	NA19088	JPT	Japanese in Tokyo, Japan	male	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19089	NA19089	JPT	Japanese in Tokyo, Japan	male	unrel	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19090	NA19090	JPT	Japanese in Tokyo, Japan	female	unrel	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19091	NA19091	JPT	Japanese in Tokyo, Japan	male	unrel	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19092	Y040	YRI	Yoruba in Ibadan, Nigeria	male	father	NA	NA	NA	NA	NA	NA	NA19101 (possible first cous)	NA	NA
NA19093	Y040	YRI	Yoruba in Ibadan, Nigeria	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19094	Y040	YRI	Yoruba in Ibadan, Nigeria	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19095	Y041	YRI	Yoruba in Ibadan, Nigeria	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19096	Y041	YRI	Yoruba in Ibadan, Nigeria	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19097	Y041	YRI	Yoruba in Ibadan, Nigeria	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19098	Y105	YRI	Yoruba in Ibadan, Nigeria	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19099	Y105	YRI	Yoruba in Ibadan, Nigeria	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19100	Y105	YRI	Yoruba in Ibadan, Nigeria	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19101	Y042	YRI	Yoruba in Ibadan, Nigeria	male	father	NA	NA	NA	NA	NA	NA	NA19092 (possible 1st cous)	NA	NA
NA19102	Y042	YRI	Yoruba in Ibadan, Nigeria	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19103	Y042	YRI	Yoruba in Ibadan, Nigeria	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19104	Y080	YRI	Yoruba in Ibadan, Nigeria	male	father	NA	NA	NA19153	NA	NA19154 (niece/nephew)	NA	NA	NA	NA
NA19105	Y080	YRI	Yoruba in Ibadan, Nigeria	female	paternal grandmother	NA	NA	NA	 NA18863	NA	NA	NA	NA	NA
NA19107	Y006	YRI	Yoruba in Ibadan, Nigeria	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19108	Y006	YRI	Yoruba in Ibadan, Nigeria	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19109	Y006	YRI	Yoruba in Ibadan, Nigeria	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19113	Y079	YRI	Yoruba in Ibadan, Nigeria	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19114	Y079	YRI	Yoruba in Ibadan, Nigeria	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19115	Y079	YRI	Yoruba in Ibadan, Nigeria	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19116	Y060	YRI	Yoruba in Ibadan, Nigeria	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19117	Y100	YRI	Yoruba in Ibadan, Nigeria	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19118	Y100	YRI	Yoruba in Ibadan, Nigeria	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19119	Y060	YRI	Yoruba in Ibadan, Nigeria	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19120	Y060	YRI	Yoruba in Ibadan, Nigeria	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19121	Y061	YRI	Yoruba in Ibadan, Nigeria	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19122	Y061	YRI	Yoruba in Ibadan, Nigeria	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19123	Y061	YRI	Yoruba in Ibadan, Nigeria	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19127	Y077	YRI	Yoruba in Ibadan, Nigeria	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19128	Y077	YRI	Yoruba in Ibadan, Nigeria	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19129	Y077	YRI	Yoruba in Ibadan, Nigeria	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19130	Y101	YRI	Yoruba in Ibadan, Nigeria	male	father	NA	NA	NA	NA	NA19192 (nephew)	NA	NA	NA	NA
NA19131	Y101	YRI	Yoruba in Ibadan, Nigeria	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19132	Y101	YRI	Yoruba in Ibadan, Nigeria	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19137	Y043	YRI	Yoruba in Ibadan, Nigeria	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19138	Y043	YRI	Yoruba in Ibadan, Nigeria	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19139	Y043	YRI	Yoruba in Ibadan, Nigeria	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19140	Y071	YRI	Yoruba in Ibadan, Nigeria	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19141	Y071	YRI	Yoruba in Ibadan, Nigeria	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19142	Y071	YRI	Yoruba in Ibadan, Nigeria	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19143	Y074	YRI	Yoruba in Ibadan, Nigeria	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19144	Y074	YRI	Yoruba in Ibadan, Nigeria	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19145	Y074	YRI	Yoruba in Ibadan, Nigeria	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19146	Y075	YRI	Yoruba in Ibadan, Nigeria	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19147	Y075	YRI	Yoruba in Ibadan, Nigeria	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19148	Y075	YRI	Yoruba in Ibadan, Nigeria	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19149	Y073	YRI	Yoruba in Ibadan, Nigeria	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19150	Y073	YRI	Yoruba in Ibadan, Nigeria	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19151	Y073	YRI	Yoruba in Ibadan, Nigeria	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19152	Y072	YRI	Yoruba in Ibadan, Nigeria	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19153	Y072	YRI	Yoruba in Ibadan, Nigeria	male	father	NA	NA	NA19104	NA	NA	NA	NA	NA	NA
NA19154	Y072	YRI	Yoruba in Ibadan, Nigeria	male	child	NA	NA	NA	NA	NA19104 (aunt/uncle)	NA	NA	NA	NA
NA19159	Y056	YRI	Yoruba in Ibadan, Nigeria	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19160	Y056	YRI	Yoruba in Ibadan, Nigeria	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19161	Y056	YRI	Yoruba in Ibadan, Nigeria	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19166	Y049	YRI	Yoruba in Ibadan, Nigeria	female	mother	NA	NA	NA19184	NA	NA19186 (niece/nephew)	NA	NA	NA	NA
NA19171	Y047	YRI	Yoruba in Ibadan, Nigeria	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19172	Y047	YRI	Yoruba in Ibadan, Nigeria	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19173	Y047	YRI	Yoruba in Ibadan, Nigeria	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19174	Y100	YRI	Yoruba in Ibadan, Nigeria	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19175	Y044	YRI	Yoruba in Ibadan, Nigeria	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19176	Y044	YRI	Yoruba in Ibadan, Nigeria	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19177	Y044	YRI	Yoruba in Ibadan, Nigeria	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19184	Y039	YRI	Yoruba in Ibadan, Nigeria	male	father	NA	NA	NA19166	NA	NA	NA	NA	NA	NA
NA19185	Y039	YRI	Yoruba in Ibadan, Nigeria	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19186	Y039	YRI	Yoruba in Ibadan, Nigeria	male	child	NA	NA	NA	NA	NA19166 (aunt/uncle)	NA	NA	NA	NA
NA19189	Y111	YRI	Yoruba in Ibadan, Nigeria	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19190	Y111	YRI	Yoruba in Ibadan, Nigeria	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19191	Y111	YRI	Yoruba in Ibadan, Nigeria	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19195	Y108	YRI	Yoruba in Ibadan, Nigeria	male	father	NA19196	NA	NA	NA	NA	NA	NA	NA	NA
NA19196	Y108	YRI	Yoruba in Ibadan, Nigeria	female	mother	NA19195	NA	NA	NA	NA	NA	NA	NA	NA
NA19197	Y035	YRI	Yoruba in Ibadan, Nigeria	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19198	Y035	YRI	Yoruba in Ibadan, Nigeria	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19199	Y035	YRI	Yoruba in Ibadan, Nigeria	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19200	Y045	YRI	Yoruba in Ibadan, Nigeria	male	father	NA	NA	NA	NA	NA	NA	NA19178	NA19178 (1st cous once removed)	NA
NA19201	Y045	YRI	Yoruba in Ibadan, Nigeria	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19202	Y045	YRI	Yoruba in Ibadan, Nigeria	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19203	Y048	YRI	Yoruba in Ibadan, Nigeria	male	father	NA	NA	NA19184	NA	NA19186 (newphew/niece)	NA	NA	NA	NA
NA19204	Y048	YRI	Yoruba in Ibadan, Nigeria	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19205	Y048	YRI	Yoruba in Ibadan, Nigeria	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19206	Y051	YRI	Yoruba in Ibadan, Nigeria	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19207	Y051	YRI	Yoruba in Ibadan, Nigeria	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19208	Y051	YRI	Yoruba in Ibadan, Nigeria	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19209	Y050	YRI	Yoruba in Ibadan, Nigeria	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19210	Y050	YRI	Yoruba in Ibadan, Nigeria	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19211	Y050	YRI	Yoruba in Ibadan, Nigeria	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19213	Y110	YRI	Yoruba in Ibadan, Nigeria	male	father	NA	NA	NA19254	NA	NA	NA	NA	NA	NA
NA19214	Y110	YRI	Yoruba in Ibadan, Nigeria	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19215	Y110	YRI	Yoruba in Ibadan, Nigeria	female	child	NA	NA	NA	NA	NA19254 (aunt/uncle)	NA	NA	NA	NA
NA19221	Y058	YRI	Yoruba in Ibadan, Nigeria	female	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19222	Y058	YRI	Yoruba in Ibadan, Nigeria	female	mother	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19223	Y058	YRI	Yoruba in Ibadan, Nigeria	male	father	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA19224	Y057	YRI	Yoruba in Ibadan, Nigeria	male	child	NA	NA	NA	NA	NA	NA	NA	NA	NA
